gender,age,income,dec,attr,sinc,intel,fun,amb,shar,like,prob,met
0,22,54620,1,6,6,8,8,8,6,6,6,2
0,22,54620,1,8,6,7,7,8,6,7,5,2
0,25,0,1,5,8,7,4,7,5,4,5,2
0,25,0,1,8,7,7,9,6,7,8,7,2
0,25,0,1,5,8,8,6,7,7,5,5,2
0,25,0,1,8,6,5,6,6,5,5,6,2
0,25,0,1,6,8,8,5,6,7,6,5,2
0,25,0,1,6,8,8,5,6,7,6,5,2
0,25,0,1,6,7,8,5,7,7,6,6,2
0,25,0,1,5,6,7,4,5,6,5,4,2
0,25,0,1,8,8,5,9,8,9,7,10,2
0,25,0,1,7,6,8,7,9,8,8,7,2
0,26,0,1,8,10,9,8,7,6,5,5,2
0,26,0,1,10,10,10,10,10,10,10,5,2
0,26,0,1,5,10,10,6,6,6,8,5,2
0,26,0,1,10,9,8,8,7,7,7,5,2
0,26,0,1,5,10,8,8,5,5,5,5,2
0,26,0,1,8,9,9,7,6,5,6,5,2
0,26,0,1,6,8,9,6,6,6,7,5,2
0,26,0,1,6,7,8,7,9,6,7,5,2
0,26,0,1,8,5,5,6,5,5,7,6,2
0,26,0,1,7,8,7,8,7,8,8,5,2
0,26,48652,0,6,10,10,6,6,0,6,3,2
0,26,48652,0,1,1,1,1,1,0,1,1,1
0,26,48652,1,6,10,10,10,6,0,7,6,2
0,26,48652,0,10,10,10,10,10,0,10,1,1
0,26,48652,0,5,7,7,7,7,0,6,1,2
0,26,48652,0,5,10,6,4,6,0,6,1,2
0,26,48652,1,5,10,8,6,9,0,7,1,2
0,26,48652,0,5,6,6,4,5,0,5,5,2
0,26,48652,1,9,9,9,9,9,9,9,9,2
0,26,48652,1,9,9,8,10,8,8,9,10,2
1,27,0,0,6,8,8,8,8,6,7,4,2
1,27,0,0,8,7,6,9,7,4,7,2,2
1,27,0,0,7,8,6,5,8,4,5,2,1
1,27,0,0,6,7,8,7,7,5,6,3,2
1,27,0,0,6,8,8,8,7,6,6,5,2
1,27,0,0,7,9,8,9,8,4,7,4,2
1,27,0,0,7,8,8,8,7,7,7,4,2
1,27,0,0,8,7,6,6,6,5,7,4,2
1,27,0,0,6,8,7,8,7,5,6,4,2
1,27,0,0,7,8,7,8,6,5,6,3,2
1,22,29237,0,7,8,10,7,7,5,8,4,2
1,22,29237,0,7,6,10,6,6,5,8,4,2
1,22,29237,0,6,7,10,6,6,5,7,3,2
1,22,29237,0,6,5,10,6,6,5,6,3,1
1,22,29237,0,6,7,10,7,6,5,7,4,1
1,22,29237,0,6,8,10,6,7,6,7,4,2
1,22,29237,1,7,9,10,6,6,5,8,4,1
1,22,29237,1,8,8,10,7,6,5,9,4,2
1,22,29237,1,8,8,10,7,6,5,8,4,2
1,22,29237,0,1,1,1,1,1,1,1,1,2
1,22,0,1,10,10,10,10,10,10,10,10,1
1,22,0,1,10,10,10,10,10,10,10,10,2
1,22,0,1,10,10,10,10,10,10,10,10,2
1,22,0,1,10,10,10,10,10,10,10,10,0
1,22,0,1,10,10,10,10,10,10,10,10,1
1,22,0,1,10,10,10,10,10,10,10,10,1
1,22,0,1,10,10,10,10,10,10,10,10,0
1,22,0,1,10,10,10,10,10,10,10,10,2
1,22,0,1,10,10,10,10,10,10,10,10,2
1,22,0,1,10,10,10,10,10,10,10,10,2
1,23,56580,1,7,8,9,8,9,8,7,7,2
1,23,56580,1,9,9,9,9,9,9,9,7,2
1,23,56580,1,7,9,8,8,8,8,7,7,2
1,23,56580,1,7,7,7,9,9,9,8,10,1
1,23,56580,1,6,8,6,8,10,10,7,7,1
1,23,56580,1,6,8,8,7,9,8,7,7,2
1,23,56580,1,8,8,9,8,9,9,8,7,1
1,23,56580,1,8,8,8,8,8,7,8,7,2
1,23,56580,1,7,8,7,8,8,7,7,7,2
1,23,56580,1,7,8,7,9,8,8,7,7,1
1,24,36782,1,8,7,9,6,9,7,8,6,2
1,24,36782,1,10,10,10,10,7,8,10,1,1
1,24,36782,1,6,10,8,6,0,0,6,1,2
1,24,36782,1,8,8,9,8,8,9,9,7,2
1,24,36782,0,5,9,9,7,9,5,5,7,2
1,24,36782,1,9,7,9,7,9,6,9,2,1
1,24,36782,1,8,7,9,6,9,5,8,4,2
1,24,36782,1,9,9,8,9,0,7,9,7,2
1,24,36782,1,7,9,8,9,7,7,7,8,2
1,24,36782,1,6,9,9,7,8,0,6,6,2
1,25,0,1,7,7,8,8,7,7,7,6,2
1,25,0,1,7,8,7,5,7,7,7,5,2
1,25,0,1,7,6,6,6,6,6,6,7,2
1,25,0,1,6,6,7,7,8,7,6,6,2
1,25,0,0,5,8,7,7,7,7,6,7,2
1,25,0,1,6,6,8,8,8,7,6,6,2
1,25,0,1,8,8,8,6,6,6,7,7,2
1,25,0,1,8,7,7,7,8,7,7,6,2
1,25,0,1,6,6,7,8,7,7,6,5,2
1,25,0,0,0,8,7,7,7,7,6,6,2
1,30,38548,0,3,6,7,5,8,7,2,1,2
1,30,38548,0,5,3,4,3,5,3,4,3,2
1,30,38548,0,6,3,5,4,5,4,2,2,2
1,30,38548,1,7,6,3,5,6,5,6,4,2
1,30,38548,0,2,3,4,4,5,3,3,3,2
1,30,38548,0,5,6,8,4,5,4,3,3,2
1,30,38548,0,7,6,5,4,4,3,5,4,2
1,30,38548,0,6,4,7,5,6,4,4,4,2
1,30,38548,1,8,6,7,8,6,5,8,4,2
1,30,38548,0,7,7,4,3,4,4,3,6,2
1,27,52010,0,6,7,5,6,8,6,7,5,2
1,27,52010,1,7,7,7,7,7,5,7,6,2
1,27,52010,0,4,5,6,4,6,4,5,1,2
1,27,52010,0,6,7,8,6,6,5,7,7,2
1,27,52010,0,5,5,6,5,5,5,6,5,2
1,27,52010,0,6,7,8,7,8,5,7,6,2
1,27,52010,1,8,7,6,7,7,5,7,5,2
1,27,52010,1,9,8,8,8,7,5,7,5,2
1,27,52010,0,7,7,7,7,6,5,7,5,2
1,27,52010,0,6,6,6,6,6,5,7,6,2
1,28,0,1,7,7,8,8,8,9,6.5,8,2
1,28,0,1,8,6,9,9,8,7,8,8,2
1,28,0,1,7,7,6,8,7,7,7,7,2
1,28,0,1,7,7,7,10,9,10,8,8,2
1,28,0,1,5,9,9,9,9,6,7,7,2
1,28,0,1,6,7,7,6,6,6,6,6,2
1,28,0,1,9,7,9,9,9,10,9,9,2
1,28,0,1,8,7,8,10,8,10,8,8,2
1,28,0,1,6,6,6,7,6,6,6,6,2
1,28,0,1,7,7,7,7,6,6,7,8,2
1,24,0,0,6,6,6,6,6,6,6,6,2
1,24,0,0,6,5,7,7,9,7,6,9,2
1,24,0,0,5,6,8,5,8,6,5,5,2
1,24,0,0,7,8,8,7,8,7,7,7,2
1,24,0,0,3,10,7,7,10,5,4,10,2
1,24,0,0,7,10,10,6,10,7,6,7,2
1,24,0,0,7,6,8,6,8,7,7,7,2
1,24,0,1,8,10,9,9,8,8,8,8,2
1,24,0,0,5,6,6,6,6,6,6,6,2
1,24,0,0,6,6,6,6,6,6,7,7,2
0,21,0,0,6,8,7,9,5,7,9,1,1
0,21,0,0,5,8,7,5,9,5,7,2,2
0,21,0,1,8,9,8,8,7,6,9,3,0
0,21,0,0,5,8,8,4,9,3,6,1,2
0,21,0,0,7,7,8,5,7,2,6,1,2
0,21,0,0,6,8,8,6,8,4,5,2,2
0,21,0,0,6,8,8,6,8,5,8,2,2
0,21,0,0,4,7,7,4,7,3,5,1,2
0,21,0,0,7,7,7,5,6,3,6,1,2
0,21,0,1,9,9,10,9,9,8,9,5,2
0,21,0,0,5,7,7,7,7,6,6,1,2
0,21,0,0,7,4,6,4,4,2,2,1,2
0,21,0,0,5,8,8,5,8,2,6,1,2
0,21,0,0,6,8,7,7,7,2,6,1,2
0,21,0,0,6,8,7,6,8,2,6,1,2
0,21,0,0,5,9,9,8,9,5,8,3,2
0,27,28418,0,5,7,7,6,7,5,6,4,2
0,27,28418,0,4,7,6,6,7,2,3,3,2
0,27,28418,0,5,6,6,5,6,3,3,2,2
0,27,28418,0,5,7,7,5,7,3,4,3,2
0,27,28418,1,6,8,8,7,7,6,6,6,2
0,27,28418,1,6,7,7,4,6,6,6,6,2
0,27,28418,1,8,7,7,7,6,7,7,4,2
0,27,28418,0,5,7,7,6,6,5,5,4,2
0,27,28418,1,7,7,7,7,7,6,7,4,2
0,27,28418,0,6,7,7,5,7,4,5,3,2
0,27,28418,1,5,6,7,7,7,7,6,6,2
0,27,28418,0,3,4,5,4,4,2,2,1,2
0,27,28418,0,3,6,7,5,5,4,2,2,2
0,27,28418,1,7,7,8,6,7,8,8,5,2
0,27,28418,0,4,5,5,4,5,4,4,2,2
0,27,28418,1,6,7,7,7,7,7,7,6,2
0,21,0,1,5,7,6,6,6,7,8,6,2
0,21,0,0,5,7,7,6,6,7,7,6,2
0,21,0,1,6,6,7,6,6,6,6.5,5,2
0,21,0,1,5,7,8,6,6,7,7,6,2
0,21,0,1,7,7,7,6,6,9,9,10,1
0,21,0,1,6,7,7,6,7,5,7,5,2
0,21,0,1,7,6,7,7,7,6,7,5,2
0,21,0,0,5,6,7,6,6,6,6,5,2
0,21,0,0,6,6,6,8,6,5,6,5,2
0,21,0,1,7,7,6,7,6,7,8,6,2
0,21,0,1,6,6,7,8,8,7,7,5,2
0,21,0,0,7,6,5,4,4,4,6,4,2
0,21,0,0,6,6,5,7,5,6,6,5,2
0,21,0,0,0,0,0,0,0,0,0,0,0
0,21,0,0,6,7,6,6,5,5,6,4,2
0,21,0,0,6,8,7,6,7,5,6,5,2
0,27,43185,0,5,6,7,7,7,0,6,3,2
0,27,43185,0,7,8,0,0,8,0,8,4,2
0,27,43185,0,6,8,0,7,0,0,7,5,2
0,27,43185,0,7,8,8,8,0,0,7,5,2
0,27,43185,0,5,8,8,0,8,6,7,7,2
0,27,43185,0,7,7,8,0,8,0,8,6,2
0,27,43185,1,9,8,7,8,0,8,8,7,2
0,27,43185,0,5,7,7,7,7,7,7,7,2
0,27,43185,0,7,7,7,8,7,0,7,6,2
0,27,43185,0,6,0,0,8,0,6,6,5,2
0,27,43185,0,6,8,0,8,0,0,7,7,2
0,27,43185,0,6,6,8,7,8,0,7,7,2
0,27,43185,0,4,0,0,6,8,7,7,6,2
0,27,43185,1,8,0,0,7,8,8,8,7,2
0,27,43185,0,6,8,0,8,8,8,7,6,2
0,27,43185,0,8,7,7,0,0,2,6,4,2
0,25,23152,0,7,8,9,6,8,5,6,4,2
0,25,23152,0,5,8,8,6,8,5,7,3,2
0,25,23152,0,6,7,8,7,9,7,7,5,2
0,25,23152,0,4,5,10,4,10,4,4,5,2
0,25,23152,0,6,7,9,7,9,3,5,4,2
0,25,23152,0,6,8,7,5,8,7,7,5,2
0,25,23152,0,7,8,8,6,10,6,8,7,2
0,25,23152,0,3,8,9,8,10,5,8,4,2
0,25,23152,0,7,8,8,8,6,6,7,6,2
0,25,23152,0,8,8,9,8,9,8,9,8,2
0,25,23152,0,9,8,9,8,10,7,8,7,2
0,25,23152,0,6,5,8,7,10,8,6,7,2
0,25,23152,0,5,4,7,5,9,7,5,4,2
0,25,23152,0,7,8,9,7,8,5,7,7,2
0,25,23152,0,5,8,8,6,9,6,6,7,2
0,25,23152,0,7,7,7,8,8,6,7,5,2
0,23,43664,0,2,5,5,3,5,2,2,2,2
0,23,43664,0,2,5,5,3,5,2,2,2,2
0,23,43664,0,2,5,5,3,7,3,3,2,2
0,23,43664,0,2,6,7,1,7,2,2,3,2
0,23,43664,0,3,8,7,6,6,4,5,4,2
0,23,43664,0,4,7,6,1,4,3,2,2,2
0,23,43664,0,7,4,5,6,5,4,6,5,2
0,23,43664,0,3,7,6,4,6,2,2,2,2
0,23,43664,0,6,5,5,7,6,3,4,4,2
0,23,43664,0,5,8,8,7,7,6,5,5,2
0,23,43664,0,7,6,6,7,6,6,8,5,2
0,23,43664,0,6,7,6,5,6,6,6,4,2
0,23,43664,0,2,7,6,4,4,4,5,4,2
0,23,43664,0,6,8,8,6,7,5,6,6,2
0,23,43664,0,2,8,7,2,7,2,3,3,2
0,23,43664,0,6,6,6,6,6,4,6,5,2
0,22,48441,0,2,6,6,6,6,0,3,3,2
0,22,48441,0,1,6,4,2,1,0,2,1,2
0,22,48441,0,1,4,6,2,6,1,2,2,2
0,22,48441,0,1,6,7,6,4,3,2,3,1
0,22,48441,0,1,3,4,2,2,1,1,4,2
0,22,48441,0,3,6,6,4,5,1,1,2,2
0,22,48441,1,8,7,6,6,4,4,6,5,2
0,22,48441,0,1,4,5,4,4,4,3,5,2
0,22,48441,0,4,6,4,5,6,7,3,1,2
0,22,48441,0,4,5,4,5,6,0,2,3,2
0,22,48441,1,6,5,6,7,8,4,4,4,2
0,22,48441,0,1,2,6,1,6,2,2,3,2
0,22,48441,0,1,3,7,1,4,2,1,3,2
0,22,48441,0,6,4,8,3,8,2,3,3,2
0,22,48441,0,2,4,7,3,6,2,1,2,2
0,22,48441,0,5,6,6,4,3,4,4,1,2
0,26,0,0,3,6,6,6,5,2,2,4,2
0,26,0,0,2,6,5,4,5,2,2,2,2
0,26,0,0,3,5,8,5,8,3,3,3,2
0,26,0,0,4,6,5,4,4,3,3,4.5,2
0,26,0,0,4,6,7,4,5,2,2,4,2
0,26,0,0,4,6,5,3,3,3,3,3,2
0,26,0,1,7,8,8,8,5,9,7.5,6.5,2
0,26,0,0,4,6,6,5,4,3,2,5,2
0,26,0,0,6,6,5,6,4,4,4,4,2
0,26,0,0,3,5,7,5.5,5,4,4,3,2
0,26,0,0,5,8,9,5,8,6,3,5,2
0,26,0,1,5,4.5,6,4,5.5,6,4.5,4.5,2
0,26,0,0,0,0,0,0,0,0,0,0,0
0,26,0,1,6,6,7,5,6,7,8,5.5,2
0,26,0,0,4,5,6.5,5,5,6,4,4,2
0,26,0,0,4,6,6,5,6,6,4,4,2
0,22,61152,0,4,9,4,4,5,0,5,4,2
0,22,61152,0,4,8,6,3,6,0,4,4,2
0,22,61152,0,6,8,7,5,5,0,6,3,2
0,22,61152,0,5,7,5,3,5,0,5,4,0
0,22,61152,1,8,6,7,3,7,2,6,4,2
0,22,61152,1,6,8,7,4,7,2,6,4,2
0,22,61152,1,8,6,6,5,0,0,7,4,2
0,22,61152,0,5,6,6,7,6,0,6,4,2
0,22,61152,1,8,7,8,8,8,6,8,5,2
0,22,61152,0,7,5,6,8,6,4,5,6,2
0,22,61152,1,7,7,7,7,7,0,7,5,2
0,22,61152,1,6,7,7,4,6,6,6,5,2
0,22,61152,1,6,8,8,5,7,5,8,7,2
0,22,61152,1,9,8,8,5,7,0,8,5,2
0,22,61152,0,6,7,6,4,6,5,6,4,0
0,22,61152,1,6,8,7,6,5,3,6,6,2
0,23,0,0,3,6,6,5,6,5,6,5,2
0,23,0,0,8,9,8,5,9,5,8,5,2
0,23,0,0,6,7,8,7,8,7,8,6,2
0,23,0,0,4,6,6,5,7,6,6,5,2
0,23,0,0,6,9,7,5,6,3,7,4,2
0,23,0,0,4,5,5,2,6,5,4,3,2
0,23,0,0,8,7,7,7,5,5,7,6,2
0,23,0,0,5,5,5,7,7,6,8,6,2
0,23,0,0,7,7,5,7,5,7,8,7,2
0,23,0,1,8,7,7,7,7,7,9,7,1
0,23,0,1,7,7,8,8,7,7,8,4,2
0,23,0,0,5,5,5,2,4,3,4,4,2
0,23,0,0,3,7,8,6,7,5,7,7,2
0,23,0,1,7,7,8,7,9,7,9,6,2
0,23,0,0,3,5,8,4,7,6,6,5,2
0,23,0,1,7,7,8,8,7,8,8,5,2
0,24,36485,0,4,6,6,6,6,4,5,4,2
0,24,36485,0,3,6,6,3,6,2,0,0,2
0,24,36485,0,4,5,6,5,6,4,5,3,0
0,24,36485,0,4,5,6,5,5,5,5,4,2
0,24,36485,0,4,6,7,5,8,5,5,4,2
0,24,36485,0,4,5,7,3,6,4,5,4,2
0,24,36485,0,9,6,7,7,6,5,7,4,2
0,24,36485,0,2,3,4,2,6,2,4,3,2
0,24,36485,1,8,9,8,8,8,8,8,8,2
0,24,36485,1,7,8,8,6,7,5,7,8,2
0,24,36485,1,9,7,8,9,8,8,9,9,1
0,24,36485,0,4,6,5,5,5,5,5,4,2
0,24,36485,0,3,8,8,5,5,5,6,4,1
0,24,36485,0,7,7,7,6,6,6,6.5,6,2
0,24,36485,0,4,5,6,4,5,5,5,5,2
0,24,36485,1,9,8,7,10,9,8,8.5,9,1
0,27,0,0,4,8,7,9,0,6,5,5,2
0,27,0,0,7,8,9,0,9,7,7,5,2
0,27,0,0,5,6,6,7,8,0,6,5,2
0,27,0,0,5,7,7,6,9,5,5,3,2
0,27,0,0,5,7,9,5,4,6,6,3,2
0,27,0,0,8,8,9,5,9,6,8,5,2
0,27,0,0,8,9,8,0,8,7,8,5,2
0,27,0,0,7,9,8,7,8,8,6,5,2
0,27,0,0,7,8,7,9,6,4,7,2,2
0,27,0,0,6,8,9,9,6,6,7,5,2
0,27,0,0,7,8,8,9,8,4,6,3,2
0,27,0,0,5,6,7,6,7,5,5,3,2
0,27,0,0,4,7,6,6,9,4,5,3,2
0,27,0,0,7,6,9,8,9,9,7,5,2
0,27,0,0,7,6,9,8,9,9,7,5,2
0,27,0,0,8,8,7,9,7,5,7,3,2
0,30,41507,1,6,8,7,10,7,4,8,5,2
0,30,41507,0,2,6,7,4,6,2,5,2,2
0,30,41507,0,6,8,6,6,6,5,5,3,2
0,30,41507,1,5,7,7,5,7,5,6,3,2
0,30,41507,0,5,6,6,2,5,7,4,2,2
0,30,41507,0,6,6,7,3,7,3,5,2,2
0,30,41507,0,8,7,9,5,6,4,6,2,2
0,30,41507,0,4,5,6,7,7,4,6,2,2
0,30,41507,1,8,7,6,6,7,8,7,3,2
0,30,41507,0,6,7,8,5,7,5,7,2,2
0,30,41507,1,7,9,7,7,10,5,7,3,2
0,30,41507,0,7,5,9,1,9,2,3,1,2
0,30,41507,1,9,9,8,9,7,9,8,4,2
0,30,41507,0,8,7,5,6,7,4,6,3,2
0,30,41507,0,5,6,5,5,6,8,5,2,2
0,30,41507,0,7,7,6,6,6,4,5,2,2
0,21,0,0,4,4,5,4,4,0,5,6,2
0,21,0,0,3,4,7,4,4,0,5,7,2
0,21,0,0,5,4,5,6,7,6,5,5,2
0,21,0,0,4,4,6,4,6,0,5,4,2
0,21,0,0,4,6,5,4,5,3,5,4,2
0,21,0,0,4,5,6,5,6,5,5,3,2
0,21,0,1,9,8,9,7,8,0,8,8,2
0,21,0,0,3,3,5,3,5,3,5,4,2
0,21,0,0,5,4,3,3,2,2,4,4,2
0,21,0,1,7,8,8,7,8,6,7,7,2
0,21,0,0,4,4,6,6,7,4,5,5,2
0,21,0,0,3,3,4,2,2,2,3,3,2
0,21,0,0,4,4,5,4,5,3,4,3,2
0,21,0,0,5,4,6,3,7,3,5,4,2
0,21,0,0,4,6,6,5,7,3,5,4,0
0,21,0,0,4,4,5,6,6,5,5,3,0
0,25,17134,1,6,8,9,7,7,8,7,7,2
0,25,17134,0,5,9,8,6,7,6,6,7,2
0,25,17134,0,6,8,9,8,7,9,8,6,2
0,25,17134,0,6,8,8,8,7,7,8,8,2
0,25,17134,0,5,8,7,7,7,5,6,6,2
0,25,17134,1,7,8,9,7,8,9,8,8,2
0,25,17134,1,8,8,9,9,8,10,8,8,2
0,25,17134,0,5,6,8,8,7,8,6,8,2
0,25,17134,1,8,8,7,8,7,6,7,7,2
0,25,17134,1,7,9,9,9,9,10,8,8,2
0,25,17134,1,6,8,8,10,8,9,8,10,2
0,25,17134,1,8,8,6,6,7,6,7,5,2
0,25,17134,0,6,7,10,7,7,9,7,8,2
0,25,17134,1,8,8,8,8,8,6,8,7,2
0,25,17134,0,6,8,8,6,7,9,7,8,2
0,25,17134,0,6,8,8,8,8,6,8,8,2
0,26,0,0,2,5,2,3,1,3,2,5,2
0,26,0,0,1,2,2,1,8,2,2,5,2
0,26,0,0,2,2,4,1,5,1,2,3,2
0,26,0,0,1,1,1,1,1,1,1,6,2
0,26,0,0,1,1,1,1,1,1,1,5,0
0,26,0,0,2,2,5,2,8,4,3,5,2
0,26,0,0,2,5,4,3,4,2,3,5,2
0,26,0,0,1,3,5,1,2,1,1,6,1
0,26,0,0,3,1,2,2,2,3,2,5,2
0,26,0,1,4,5,8,8,10,8,8,5,1
0,26,0,0,5,4,8,5,8,3,5,3,2
0,26,0,1,5,2,6,2,5,4,5,6,2
0,26,0,0,1,5,5,2,5,2,3,6,2
0,26,0,1,9,8,8,5,6,7,7,6,2
0,26,0,0,3,4,6,4,5,2,4,5,2
0,26,0,0,5,6,8,6,8,4,5,5,2
0,27,30038,0,2,4,5,4,4,3,3,6,2
0,27,30038,0,2,5,6,3,4,3,3,5,2
0,27,30038,1,4,4,6,7,5,4,4,5,2
0,27,30038,0,4,7,8,2,6,2,3,2,2
0,27,30038,1,7,6,8,6,9,6,7,7,2
0,27,30038,0,6,4,7,4,5,2,4,3,2
0,27,30038,1,8,5,9,7,6,5,6,6,2
0,27,30038,0,3,5,7,6,6,6,5,5,2
0,27,30038,1,8,5,6,9,4,6,7,6,2
0,27,30038,0,6,5,5,4,4,4,3,3,2
0,27,30038,1,6,3,6,8,4,4,5,4,2
0,27,30038,1,7,4,7,7,6,8,6,2,1
0,27,30038,1,2,6,6,6,4,5,5,5,2
0,27,30038,1,7,7,7,4,7,4,6,4,2
0,27,30038,0,4,3,4,2,3,3,3,3,2
0,27,30038,1,5,7,6,7,4,5,4,4,2
0,23,33772,0,2,8,10,3,10,3,5,1,2
0,23,33772,0,1,1,10,1,10,1,1,1,2
0,23,33772,0,8,8,10,7,7,7,8,1,2
0,23,33772,0,3,7,10,4,8,2,5,1,2
0,23,33772,0,5,10,7,4,5,7,5,1,2
0,23,33772,0,6,6,8,3,8,3,4,1,2
0,23,33772,0,10,6,6,9,5,3,6,2,2
0,23,33772,0,7,9,7,7,4,3,8,2,2
0,23,33772,1,8,6,5,8,5,3,8,4,2
0,23,33772,1,9,9,9,8,5,3,7,2,2
0,23,33772,1,8,8,8,9,9,7,7,6,1
0,23,33772,0,8,7,9,8,8,3,7,1,1
0,23,33772,0,2,9,9,3,8,3,6,2,2
0,23,33772,0,3,9,9,3,9,5,2,1,2
0,23,33772,0,3,9,9,5,9,5,5,1,2
0,23,33772,1,8,8,8,8,9,8,9,6,1
0,24,24997,1,6,7,9,9,9,8,7,6,2
0,24,24997,0,3,10,9,6,8,0,5,5,2
0,24,24997,1,5,5,9,7,9,0,6.5,6,2
0,24,24997,1,7,9,8,7,6,5,8,7,2
0,24,24997,0,4,7,7,4,5,1,2,1,2
0,24,24997,0,4,5,7,1,5,1,5,1,2
0,24,24997,0,8,6,9,9,6,0,5,2,2
0,24,24997,1,5,5,8,8,5,7,7,5,2
0,24,24997,1,8,5,6,7,5,5,7,3,2
0,24,24997,0,5,7,7,7,9,0,6,3,2
0,24,24997,1,5,6,8,10,8,0,7,5,2
0,24,24997,0,3,1,8,1,9,0,1,1,1
0,24,24997,1,3,9,9,6,9,0,6,2,2
0,24,24997,1,8,7,9,5,5,0,7,5,2
0,24,24997,0,4,8,8,5,6,0,5,3,0
0,24,24997,0,6,7,8,10,7,0,7,3,2
1,25,42096,0,3,10,10,6,4,7,4,1,2
1,25,42096,0,4,10,8,8,6,4,3,1,2
1,25,42096,0,5,4,3,7,4,3,1,1,2
1,25,42096,0,5,10,9,9,8,5,2,3,2
1,25,42096,0,8,10,9,9,8,4,3,1,2
1,25,42096,0,8,9,9,8,7,4,3,1,2
1,25,42096,0,9,8,6,8,7,5,5,2,2
1,25,42096,0,8,8,7,8,7,3,6,2,2
1,25,42096,0,5,6,3,4,3,3,1,0,2
1,25,42096,0,6,6,8,7,8,4,2,1,2
1,25,42096,0,7,5,4,4,8,3,2,1,2
1,25,42096,0,8,10,10,7,8,4,5,1,2
1,25,42096,0,6,10,10,8,5,3,6,1,2
1,25,42096,0,8,7,6,8,6,4,5,2,2
1,25,42096,0,5,6,6,5,7,3,3,1,2
1,25,42096,0,5,8,9,7,8,4,3,2,2
1,25,42096,0,4,6,8,7,6,3,1,1,2
